track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,artist_name,popularity,album_name,album_type,release_date,track_url
Novidade na ï¿½ï¿,"Mc Livinho, DJ Matt D",2,2023,6,23,267,9,39709092.0,9,6,25,2,72,130,F,Major,63,36,34,76,0,35,9,,,,,,
Back To December (Taylor's Version),Taylor Swift,1,2023,7,7,139,17,39228929.0,16,72,5,0,8,142,D,Major,50,20,64,1,0,12,3,Taylor Swift,73.0,Speak Now (Taylor's Version),album,2023-07-07,https://open.spotify.com/track/79uDOz0zuuWS7HWxzMmTa2
STAY (with Justin Bieber),"Justin Bieber, The Kid Laroi",2,2021,7,9,17050,36,2665343922.0,492,99,798,31,0,170,C#,Major,59,48,76,4,0,10,5,The Kid LAROI,80.0,STAY (with Justin Bieber),single,2021-07-09,https://open.spotify.com/track/5HCyWlXZPP0y6Gqq8TgA20
El Merengue,"Marshmello, Manuel Turizo",2,2023,3,3,2114,44,223633238.0,80,75,110,11,323,124,G#,Minor,78,70,68,3,1,11,4,Marshmello,74.0,Sugar Papi,album,2023-11-03,https://open.spotify.com/track/5KbBVSj6AJZ5662fO8EYFh
Someone You Loved,Lewis Capaldi,1,2018,11,8,17836,53,2887241814.0,440,125,"1,800",0,0,110,C#,Major,50,45,41,75,0,11,3,Lewis Capaldi,86.0,Divinely Uninspired To A Hellish Extent,album,2019-05-17,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
Me Porto Bonito,"Chencho Corleone, Bad Bunny",2,2022,5,6,8870,43,1440757818.0,104,120,141,26,49,92,C#,Minor,91,43,71,9,0,9,8,Bad Bunny,82.0,Un Verano Sin Ti,album,2022-05-06,https://open.spotify.com/track/6Sq7ltF9Qa7SNFBsV5Cogx
Makeba,Jain,1,2015,6,22,6060,53,165484133.0,150,148,"2,703",22,"1,451",116,D,Major,82,40,66,39,51,25,7,Jain,67.0,Zanaka,album,2016-10-21,https://open.spotify.com/track/5JdLUE9D743ob2RtgmVpVx
MONTAGEM - FR PUNK,"Ayparia, unxbected",2,2012,6,20,641,50,58054811.0,1,52,8,0,"1,170",129,A,Major,63,84,82,70,8,9,7,,,,,,
Fast Car,Luke Combs,1,2023,3,24,1446,12,157058870.0,57,97,35,0,429,98,G#,Major,71,67,60,19,0,12,3,Luke Combs,84.0,Gettin' Old,album,2023-03-24,https://open.spotify.com/track/1Lo0QY9cvc8sUB2vnIOxDT
What It Is (Solo Version),Doechii,1,2023,3,17,804,25,95131998.0,29,76,24,0,162,172,C#,Minor,74,76,76,6,0,10,9,Doechii,77.0,What It Is (Versions),single,2023-03-17,https://open.spotify.com/track/73RbfOTJIjHzi2pcVHjeHM
Coco Chanel,"Bad Bunny, Eladio Carrion",2,2023,3,17,1962,38,250305248.0,28,89,29,5,82,150,D,Major,68,14,76,4,0,10,4,Eladio Carrion,73.0,3MEN2 KBRN,album,2023-03-17,https://open.spotify.com/track/0PB0O24JqAuNdOAFVJljMS
Donï¿½ï¿½ï¿½t Bl,Taylor Swift,1,2017,11,8,4875,23,685032533.0,19,45,0,0,10,136,A,Minor,62,19,53,11,0,6,4,,,,,,
Still With You,Jung Kook,1,2020,6,5,31,39,38411956.0,2,107,8,0,0,88,C#,Minor,53,34,47,9,0,83,4,Jung Kook,78.0,Still With You,single,2020-06-05,https://open.spotify.com/track/0eFMbKCRw8KByXyWBw8WO7
